K03243.01,,1029.0
K03525.01,,1029.0
K04334.01,,1029.0
K05211.01,,1029.0
K08074.01,,1029.0
K04287.01,,1030.0
K04323.02,,1030.0
K04513.01,Kepler-1612 b,1030.0
K05007.01,,1030.0
K07409.01,,1030.0
K00011.01,,1031.0
K03136.01,,1031.0
K03512.01,,1031.0
K04475.01,,1031.0
K07686.01,,1031.0
K00798.01,,1032.0
K02612.01,,1032.0
K06478.01,,1032.0
K07677.01,,1032.0
K00425.01,,1033.0
K03026.01,Kepler-1414 b,1033.0
K03566.01,,1033.0
K04606.01,,1033.0
K05415.01,,1033.0
K07254.01,,1033.0
K01570.01,Kepler-893 b,1034.0
K01947.01,,1034.0
K02050.02,,1034.0
K02241.01,,1034.0
K01363.02,Kepler-291 c,1035.0
K02463.01,Kepler-1248 b,1035.0
K02597.01,Kepler-394 b,1035.0
K03613.01,,1035.0
K04499.01,,1035.0
K04840.01,,1035.0
K06190.01,,1035.0
K04741.01,,1036.0
K04775.01,,1036.0
K06679.01,,1036.0
K07459.01,,1036.0
K01106.01,Kepler-769 b,1037.0
K02025.03,Kepler-350 b,1037.0
K02184.01,,1037.0
K03030.01,,1037.0
K05282.01,,1037.0
K07976.01,,1037.0
K00851.01,Kepler-703 b,1038.0
K00864.01,Kepler-244 b,1038.0
K05272.01,,1038.0
K05780.01,,1038.0
K06937.01,,1038.0
K06952.01,,1038.0
K01098.01,,1039.0
K01779.01,Kepler-318 b,1039.0
K02007.01,Kepler-1050 b,1039.0
K06352.01,,1039.0
K07002.01,,1039.0
K07508.01,,1039.0
K00626.02,,1040.0
K01709.01,,1040.0
K01921.01,Kepler-1015 b,1040.0
K02183.02,Kepler-370 b,1040.0
K03495.02,,1040.0
K07025.01,,1040.0
K07249.01,,1040.0
K00291.02,Kepler-133 b,1041.0
K00543.02,Kepler-181 b,1041.0
K04332.01,,1041.0
K00698.01,,1042.0
K00730.04,Kepler-223 b,1042.0
K01809.02,Kepler-321 b,1042.0
K01887.01,,1042.0
K02877.01,Kepler-1376 b,1042.0
K03591.01,,1042.0
K06244.01,,1042.0
K00212.01,,1043.0
K02458.01,Kepler-1245 b,1043.0
K06042.01,,1043.0
K00677.01,,1044.0
K00989.04,,1044.0
K05571.01,,1044.0
K06792.01,,1044.0
K01016.01,,1045.0
K03194.01,,1045.0
K03654.01,,1045.0
K06221.01,,1045.0
K06320.01,,1045.0
K00217.01,Kepler-71 b,1046.0
K00369.02,Kepler-144 c,1046.0
K00585.01,Kepler-612 b,1046.0
K00994.01,,1046.0
K01346.01,,1046.0
K01647.03,,1046.0
K02378.01,Kepler-1215 b,1046.0
K02439.02,,1046.0
K02690.01,,1046.0
K04921.01,,1046.0
K00827.01,,1047.0
K01505.01,Kepler-868 b,1047.0
K02084.01,,1047.0
K02167.02,,1047.0
K02199.02,,1047.0
K02473.01,Kepler-389 b,1047.0
K05672.01,,1047.0
K05691.01,,1047.0
K00627.02,Kepler-625 c,1048.0
K03128.01,,1048.0
K04024.01,Kepler-1541 b,1048.0
K06225.01,,1048.0
K08075.01,,1048.0
K02467.01,,1049.0
K03109.01,Kepler-1428 b,1049.0
K04698.01,,1049.0
K00321.02,Kepler-406 c,1050.0
K00555.01,Kepler-598 b,1050.0
K01102.02,Kepler-24 b,1050.0
K01481.01,Kepler-860 b,1050.0
K01657.01,,1050.0
K02636.02,,1050.0
K06034.01,,1050.0
K06080.01,,1050.0
K06615.01,,1050.0
K06943.01,,1050.0
K00482.01,,1051.0
K00955.01,Kepler-741 b,1051.0
K01246.01,,1051.0
K02361.01,,1051.0
K04425.01,,1051.0
K05322.01,,1051.0
K06195.01,,1051.0
K06565.01,,1051.0
K01641.01,Kepler-918 b,1052.0
K02595.01,Kepler-393 b,1052.0
K06921.01,,1052.0
K07169.01,,1052.0
K07427.01,,1052.0
K00509.01,Kepler-171 b,1053.0
K00982.01,,1053.0
K01545.01,,1053.0
K02756.02,,1053.0
K06712.01,,1053.0
K07486.01,,1053.0
